110	462	3	7.18
102	187	14	15.48
1676	106	3	9.57
1146	14	10	33.59
106	2118	3	11.11
103	1036	3	5.16
322	109	3	4.43
1067	14	4	5.07
1391	12	3	4.13
109	1280	6	32.99
104	1508	3	8.59
644	14	7	10.35
1171	106	9	43.97
1553	14	3	4.28
856	12	5	7.62
2153	142	3	25.88
3314	102	3	12.11
103	449	6	9.21
305	784	3	28.76
1228	101	10	35.13
120	170	10	37.21
103	1292	4	10.55
101	407	13	23.15
101	556	10	19.01
1178	102	4	9.49
12	656	17	61.76
105	2357	3	11.59
1734	14	3	5.05
1678	113	3	16.05
105	965	3	6.29
2457	14	3	6.58
12	2555	5	19.18
105	1009	5	15.86
109	137	52	183.76
160	154	7	33.44
104	350	6	9.01
1482	14	3	3.96
119	339	6	26.84
101	304	19	35.68
2248	102	5	20.92
615	104	9	30.5
268	102	8	8.53
123	436	5	25.24
773	108	3	8.49
117	161	11	30.94
396	7	12	57.04
127	159	5	12.34
648	104	3	4.13
103	126	26	5.47
236	102	24	66.72
127	238	3	9.07
102	865	3	4.15
2202	101	7	28.34
8	131	8	4.02
1557	104	3	8.59
8	276	4	8.2
157	2019	3	27.53
277	106	5	4.73
761	14	8	16.19
159	111	21	70.79
5362	366	3	44.6
107	1080	5	21.93
150	135	3	5.9
403	14	11	16.07
102	1034	4	8.75
12	1686	7	24.88
1772	105	3	9.89
8	183	4	4.43
127	319	11	69.28
103	225	7	4.53
103	185	9	4.72
831	14	8	17.34
101	1598	3	4.34
918	102	4	7.8
107	1003	3	9.71
124	309	3	10.25
113	1267	3	14.43
1285	102	4	10.32
104	1269	3	7.52
288	829	11	138.25
7694	102	3	21.44
104	499	12	42.8
120	1227	4	25.27
12	863	5	7.62
925	106	3	6.2
5025	14	3	13.69
3764	14	3	10.07
200	12	13	7.5
137	460	5	31.23
106	427	26	134.33
1651	105	3	9.42
604	115	4	16.45
12	745	20	87.46
3068	12	3	8.57
1874	12	5	15.51
105	2204	5	24.3
1044	110	3	11.55
2793	14	3	8.01
329	12	19	42.94
103	1297	3	6.24
