106	1059	33
18079	6728	35
105	9573	10
8	4706	23
101	9408	12
104	2354	16
12924	8515	19
1176	5001	8
154	4969	14
135	9393	10
204	5954	25
2295	5995	11
101	1382	9
1125	1455	10
30397	5674	5
828	3354	16
124	5357	4
10221	4834	12
116	9983	7
173	1112	0
102	6725	4
105	1725	17
153	3859	13
21690	7817	36
147	9118	6
24433	5120	0
166	3053	47
3823	7736	10
17363	5090	18
3939	1919	5
539	4536	6
11698	7291	9
442	4095	19
18809	2864	23
6645	3156	28
2912	4812	6
34339	600	6
286	2462	7
973	7788	6
14	3796	30
104	2001	4
169	3888	24
132	5117	3
14	893	9
101	6115	26
2164	3554	23
6076	4728	6
6969	3254	1
23933	2701	0
12	388	6
843	9844	3
102	4457	1
17220	6080	10
12349	4118	26
751	175	42
102	36	7
106	3658	3
198	630	20
5233	4148	11
121	8473	6
14	6679	2
103	5634	16
1442	3816	17
102	101	12
1167	2912	23
104	5788	2
107	4244	0
9	8998	13
733	3835	0
2966	2866	4
101	4241	8
193	85	10
103	6548	18
34074	5729	20
762	4112	6
103	4594	20
102	4018	5
9565	6869	5
902	2782	43
2678	212	6
445	3474	15
6581	5593	10
14	1844	34
2908	9945	31
102	7025	25
16	5553	2
101	2555	3
642	8214	3
318	2117	1
13311	457	27
106	1169	6
289	1374	2
102	3888	19
146	489	21
103	4401	9
117	453	19
555	3154	43
1459	1241	22
117	5508	25
7	1106	4
568	8172	17
104	1782	11
124	4878	18
111	408	3
1218	6281	5
103	6118	2
126	2576	6
600	100	8
4247	5921	0
4971	6214	12
1334	1442	10
24491	8680	18
102	5442	2
14	9545	32
229	5741	1
474	8353	22
2641	8837	13
25556	5989	27
10066	6386	6
1494	329	31
102	8357	13
14	7870	23
149	2866	0
5561	1245	18
4130	5996	3
101	7199	16
4158	9395	3
12	7800	13
4999	1323	29
18184	2620	0
1536	6163	8
14	9423	26
104	1099	8
144	756	8
101	7262	27
113	476	15
198	303	5
8190	8765	8
10205	1979	28
12	9973	8
106	1462	9
22059	7145	11
104	5447	5
14	9293	12
102	8793	5
4327	8747	2
135	9443	19
110	3796	14
136	9860	14
102	3032	13
12	3893	11
103	3121	10
115	9149	22
2	2617	8
273	4021	0
109	4106	13
4150	1070	3
114	5244	15
129	3164	7
28070	9368	12
26497	3611	6
1541	8757	4
626	3445	5
185	2541	3
13	3918	8
5906	8406	10
121	1314	11
107	8367	12
162	5357	14
595	9432	11
1757	1307	0
4259	4088	22
101	6680	20
12787	1642	3
116	8297	7
2784	1421	9
114	2896	11
107	9635	0
114	6878	16
1536	7700	12
124	8146	19
31162	7185	13
29696	3826	11
133	376	0
283	1549	18
12	3199	8
103	9978	1
19356	4310	29
6544	1237	36
12	1639	16
107	6133	0
2879	1860	0
285	6892	4
102	650	22
199	4913	3
116	6680	10
8379	1705	4
10825	8337	3
1948	6521	24
803	1423	7
