else	5629	2.5395912E-4
th	5625	2.5377865E-4
office	5607	2.5296657E-4
bush	5603	2.527861E-4
kids	5603	2.527861E-4
sequence	5575	2.5152284E-4
saying	5558	2.5075587E-4
everything	5550	2.5039495E-4
line	5540	2.4994378E-4
market	5521	2.490866E-4
shown	5519	2.4899634E-4
center	5516	2.48861E-4
g	5515	2.488159E-4
along	5502	2.4822936E-4
later	5491	2.4773309E-4
bit	5483	2.4737217E-4
sort	5442	2.455224E-4
angel	5397	2.4349216E-4
test	5362	2.419131E-4
become	5353	2.4150705E-4
buffy	5315	2.3979264E-4
idea	5298	2.3902567E-4
pay	5284	2.3839403E-4
person	5257	2.371759E-4
order	5237	2.3627357E-4
run	5232	2.36048E-4
bill	5230	2.3595776E-4
power	5200	2.3460427E-4
past	5199	2.3455916E-4
type	5199	2.3455916E-4
security	5198	2.3451404E-4
level	5186	2.3397265E-4
age	5186	2.3397265E-4
paper	5181	2.3374707E-4
job	5170	2.3325079E-4
levels	5169	2.3320568E-4
car	5169	2.3320568E-4
words	5167	2.3311544E-4
try	5164	2.3298009E-4
john	5150	2.3234847E-4
?	5149	2.3230336E-4
support	5120	2.3099498E-4
according	5113	2.3067917E-4
believe	5108	2.3045359E-4
nothing	5098	2.3000242E-4
street	5097	2.2995731E-4
together	5096	2.2991218E-4
nice	5087	2.2950614E-4
start	5078	2.291001E-4
others	5067	2.2860382E-4
live	5063	2.2842335E-4
side	5058	2.2819778E-4
word	5055	2.2806243E-4
effect	5045	2.2761126E-4
death	5027	2.2679917E-4
h	5021	2.2652847E-4
recent	4979	2.246336E-4
likely	4970	2.2422755E-4
top	4968	2.2413731E-4
men	4962	2.2386662E-4
remember	4941	2.2291917E-4
fig	4938	2.2278383E-4
talk	4930	2.224229E-4
means	4911	2.2156569E-4
reported	4903	2.2120475E-4
black	4895	2.2084384E-4
hours	4894	2.2079871E-4
working	4881	2.202122E-4
significant	4879	2.2012198E-4
sense	4876	2.1998663E-4
services	4870	2.1971593E-4
quite	4866	2.1953546E-4
political	4840	2.1836245E-4
cost	4791	2.1615175E-4
guy	4790	2.1610664E-4
months	4785	2.1588105E-4
especially	4775	2.1542989E-4
total	4760	2.1475315E-4
single	4759	2.1470802E-4
present	4745	2.140764E-4
half	4724	2.1312897E-4
available	4711	2.1254245E-4
f	4710	2.1249734E-4
looking	4689	2.115499E-4
history	4687	2.1145966E-4
wanted	4678	2.1105362E-4
companies	4666	2.1051223E-4
young	4658	2.101513E-4
l	4642	2.0942943E-4
room	4579	2.0658711E-4
changes	4573	2.0631641E-4
model	4572	2.062713E-4
treatment	4571	2.0622618E-4
season	4570	2.0618107E-4
head	4565	2.0595548E-4
sometimes	4539	2.0478247E-4
research	4536	2.0464712E-4
local	4524	2.0410572E-4
america	4513	2.0360944E-4
cases	4503	2.0315828E-4
air	4501	2.0306805E-4
department	4500	2.0302294E-4
talking	4496	2.0284246E-4
rate	4467	2.015341E-4
reason	4454	2.0094759E-4
town	4411	1.9900758E-4
instead	4409	1.9891736E-4
process	4400	1.985113E-4
issue	4398	1.9842108E-4
evidence	4384	1.9778946E-4
free	4369	1.971127E-4
role	4366	1.9697736E-4
members	4363	1.9684201E-4
across	4358	1.9661643E-4
plan	4356	1.9652619E-4
watch	4350	1.962555E-4
com	4347	1.9612015E-4
interesting	4343	1.9593969E-4
open	4336	1.9562387E-4
asked	4326	1.9517272E-4
seem	4323	1.9503736E-4
further	4314	1.9463131E-4
additional	4313	1.945862E-4
saw	4308	1.9436062E-4
proteins	4308	1.9436062E-4
activity	4304	1.9418016E-4
increase	4299	1.9395458E-4
current	4288	1.934583E-4
started	4282	1.931876E-4
problems	4275	1.9287178E-4
described	4259	1.9214992E-4
reports	4257	1.920597E-4
thus	4256	1.9201457E-4
form	4240	1.9129271E-4
close	4237	1.9115736E-4
dna	4234	1.9102202E-4
low	4222	1.9048063E-4
usually	4214	1.901197E-4
following	4201	1.8953318E-4
everyone	4197	1.8935272E-4
hand	4196	1.893076E-4
development	4189	1.8899179E-4
provide	4182	1.8867597E-4
music	4182	1.8867597E-4
response	4180	1.8858575E-4
south	4178	1.8849551E-4
risk	4155	1.8745784E-4
deal	4146	1.8705179E-4
groups	4145	1.8700668E-4
university	4144	1.8696157E-4
former	4137	1.8664575E-4
couple	4130	1.8632994E-4
higher	4126	1.8614947E-4
minutes	4124	1.8605923E-4
shows	4122	1.8596901E-4
anyone	4119	1.8583366E-4
court	4097	1.848411E-4
comes	4095	1.8475087E-4
goes	4081	1.8411924E-4
buy	4080	1.8407412E-4
page	4077	1.8393877E-4
financial	4074	1.8380342E-4
perhaps	4070	1.8362296E-4
english	4059	1.8312669E-4
per	4050	1.8272064E-4
act	4047	1.8258528E-4
late	4029	1.817732E-4
whose	4027	1.8168296E-4
specific	4027	1.8168296E-4
texas	4015	1.8114157E-4
value	4010	1.8091599E-4
full	4007	1.8078064E-4
lead	4005	1.806904E-4
team	4004	1.806453E-4
recently	3998	1.803746E-4
north	3994	1.8019413E-4
heard	3982	1.7965274E-4
mother	3980	1.795625E-4
taken	3980	1.795625E-4
taking	3979	1.7951739E-4
k	3975	1.7933692E-4
front	3965	1.7888576E-4
wrong	3946	1.7802855E-4
above	3936	1.7757739E-4
interest	3921	1.7690065E-4
thinking	3921	1.7690065E-4
stock	3912	1.764946E-4
child	3904	1.7613368E-4
class	3900	1.759532E-4
result	3892	1.7559227E-4
sequences	3885	1.7527647E-4
party	3882	1.7514112E-4
food	3881	1.75096E-4
include	3880	1.7505088E-4
parents	3877	1.7491553E-4
mm	3877	1.7491553E-4
matter	3868	1.7450949E-4
programs	3854	1.7387787E-4
whatever	3852	1.7378763E-4
gets	3850	1.736974E-4
involved	3848	1.7360716E-4
standard	3845	1.7347181E-4
increased	3830	1.7279507E-4
spike	3825	1.7256949E-4
himself	3818	1.7225368E-4
game	3818	1.7225368E-4
morning	3816	1.7216345E-4
de	3815	1.7211832E-4
gonna	3811	1.7193786E-4
growth	3808	1.7180252E-4
month	3801	1.714867E-4
tax	3793	1.7112578E-4
drug	3783	1.7067461E-4
officials	3773	1.7022344E-4
lost	3772	1.7017833E-4
common	3771	1.7013322E-4
